# format of this file:
# generation_number 	[function_input_vector] 	 violation 	[properties] 	[function_output_vector]
0	<5.33607,22.7207,6.47649,81.1039,7.46842,6.19643,2.71963,58.6109,1.51504,77.5791,4.68194,25.0341,2.21072,26,2.32843,30.3273>	0	<>	<7,327.572,-81.1039>
0	<1.64399,7.49999,1.69217,55.7405,5.41825,35.2029,1.5726,77.9152,4.94068,48.0519,2.23281,44.1597,1.17762,36.3369,5.47245,64.4813>	0	<>	<5,369.388,-77.9152>
0	<5.13403,42.1277,4.19096,51.4636,4.38269,70.1514,1.70521,55.6819,4.34113,62.6736,6.65012,65.0265,7.20715,99.6935,7.67477,97.8735>	0	<>	<8,544.692,-99.6935>
0	<1.50355,5.24203,4.75298,70.3114,3.83115,61.794,4.37586,96.7404,1.68922,65.8382,3.86301,12.3834,1.15226,4.79219,6.38053,61.2328>	0	<>	<6,378.334,-96.7404>
0	<4.28439,22.45,1.88875,95.244,7.4821,22.7709,4.56481,40.3318,6.98112,31.6418,1.37509,74.1182,3.19347,0.712225,6.03942,38.5289>	0	<>	<7,325.798,-95.244>
0	<1.4168,25.6056,1.61882,46.3992,7.11797,57.0669,4.01977,97.2455,2.60336,84.0396,1.67403,25.0803,7.21823,86.4937,7.04191,35.7517>	0	<>	<7,457.683,-97.2455>
0	<1.62606,99.0095,3.1697,1.54508,2.52463,81.9216,3.93138,7.22493,1.94944,47.2353,6.69402,44.8987,4.35633,53.3348,6.83993,53.9018>	0	<>	<7,389.072,-99.0095>
0	<6.52583,92.2679,1.02107,66.34,4.45343,43.4405,5.45099,72.2399,2.92361,73.2145,7.81241,16.312,5.17958,83.6332,4.64446,68.652>	0	<>	<8,516.1,-92.2679>
0	<6.78498,83.0594,5.91379,4.42302,5.54867,12.0739,1.81536,78.5443,5.15165,92.9911,2.64102,7.25674,4.24281,6.87067,5.2811,25.2662>	0	<>	<7,310.485,-92.9911>
1	<5.13403,42.1277,4.19096,51.4636,4.38269,70.1514,1.70521,55.6819,4.34113,62.6736,4.88328,65.0265,7.20715,99.6935,7.67477,97.8735>	0	<>	<8,544.692,-99.6935>
1	<6.0242,27.5896,4.27234,88.6159,6.42186,99.5551,1,20.2848,2.61471,50.9649,6.55826,65.3864,1.76332,56.731,6.1141,92.004>	0	<>	<7,501.132,-99.5551>
1	<1,1.5,4.44745,0,3,1.5,1,1.5,2,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<4,10.5,-1.5>
1	<1,1.5,2,1.5,3,1.5,1,1.5,2,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<3,12,-1.5>
1	<1,1.5,2,1.5,3,1.5,1,1.5,2,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<3,12,-1.5>
1	<1,1.5,2,1.5,3,1.5,1,13.9625,1.79536,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<3,24.4625,-13.9625>
1	<4.36493,97.7958,1.12797,70.5671,1.71077,14.8194,2.12918,73.4767,1.50501,27.0815,4.33929,56.3405,1.77632,13.9357,5.49992,62.8446>	0	<>	<5,416.861,-97.7958>
1	<1.64399,7.49999,1.69217,55.7405,5.41825,35.2029,1.5726,77.9152,4.94068,48.0519,2.23281,44.1597,1.17762,36.3369,2.48767,64.4813>	0	<>	<5,369.388,-77.9152>
1	<3.18308,0,1,13.8175,1.71077,14.8194,2.12918,73.4767,1.50501,27.0815,4.33929,56.3405,1.77632,13.9357,5.49992,0>	0	<>	<5,199.471,-73.4767>
1	<1,25.8793,1.9929,0,2.36454,99.1981,5.05579,28.858,5.693,81.3043,5.269,0,1,19.2062,1,0>	0	<>	<6,254.446,-99.1981>
1	<3.21041,2.47054,1.21128,15.6566,7.29797,8.63352,3.24132,29.5397,2.26522,75.597,4.84096,52.8738,5.30511,54.2209,1.67961,9.78367>	0	<>	<7,248.776,-75.597>
1	<5.38452,18.9867,5.19946,72.6162,6.04008,57.5832,4.96392,6.94533,5.99385,19.8374,2.38664,0,1.20949,28.1674,5.60514,38.355>	0	<>	<6,242.491,-72.6162>
1	<7.86269,0.375,1.33047,0,5.97095,62.1423,5.6179,55.9413,1.65552,67.8447,2.63551,18.6882,2.48557,21.3532,7.15363,27.9311>	0	<>	<8,254.276,-67.8447>
1	<1.46961,99.1215,3.74902,74.8592,3.47771,82.7994,4.51569,60.7308,6.18218,81.9296,2.13166,79.1986,6.45438,34.4468,2.70259,0.0852974>	0	<>	<6,513.171,-99.1215>
1	<1.62606,99.0095,2.75174,1.54508,2.52463,81.9216,3.93138,7.22493,1.94944,47.2353,6.69402,44.8987,4.35633,53.3348,6.83993,53.9018>	0	<>	<7,389.072,-99.0095>
1	<1.50355,5.24203,4.75298,70.3114,3.83115,0,4.37586,96.7404,1.68922,65.8382,3.86301,12.3834,1.15226,4.79219,6.38053,61.2328>	0	<>	<6,316.54,-96.7404>
1	<3.32167,83.0594,5.91379,4.42302,5.54867,12.0739,1.81536,78.5443,5.15165,92.9911,2.64102,7.25674,4.24281,6.87067,5.2811,25.2662>	0	<>	<6,310.485,-92.9911>
1	<4.32881,22.2847,4.08397,85.0624,2.17891,49.8655,4.69651,58.5657,5.36246,23.5122,1.26483,0,3.96234,59.9398,6.41291,7.67217>	0	<>	<6,306.902,-85.0624>
1	<4.78909,0,1,7.63621,2.86445,11.7018,5.5983,69.4577,2.70116,96.5195,6.12403,9.55052,2.94484,16.515,7.06929,79.4126>	0	<>	<7,290.793,-96.5195>
1	<4.37975,18.198,3.8987,27.552,2.23628,5.81519,1.40281,23.3692,7.98874,23.4274,1.54721,81.2593,7.15356,10.2598,1.97526,97.9533>	0	<>	<8,287.834,-97.9533>
1	<1.38086,0,2.15062,9.45652,6.51299,58.5599,1.46237,23.1556,4.79431,86.0089,7.23114,19.5675,5.95598,38.9751,6.1545,20.9699>	0	<>	<7,256.693,-86.0089>
1	<7.30765,99.0158,3.82475,9.60273,7.87498,98.2933,3.69225,65.2568,6.57183,86.0069,4.74655,82.255,2.50235,69.7185,1.3771,84.0981>	0	<>	<8,594.247,-99.0158>
1	<3.17951,59.9822,4.36723,6.8053,5.99136,11.7347,1.61447,58.2251,3.11659,47.1672,1.46526,2.96001,1.24455,64.8517,4.36714,10.9387>	0	<>	<6,262.665,-64.8517>
1	<5.33607,22.7207,6.47649,81.1039,7.46842,6.19643,1,0,2.66421,77.5791,4.68194,25.0341,2.21072,26,2.32843,30.3273>	0	<>	<7,268.962,-81.1039>
1	<7.70322,22.9417,5.56235,73.2154,1.96042,0,4.11107,0.332072,2.34682,0,1.76652,74.2275,4.43882,84.0089,5.63621,7.94408>	0	<>	<8,262.67,-84.0089>
1	<7.30765,0,3.82475,9.60273,7.87498,98.2933,3.69225,65.2568,6.57183,86.0069,4.74655,82.255,2.50235,69.7185,1.3771,84.0981>	0	<>	<8,495.231,-98.2933>
1	<5.11726,67.7453,5.18526,53.947,3.14987,8.02782,3.38591,97.5777,1.02643,55.2968,6.92463,14.5085,1.33505,68.1706,1.95783,27.2408>	0	<>	<7,392.515,-97.5777>
1	<4.28439,22.45,1.88875,95.244,1,1.19715,4.56481,40.3318,6.98112,31.6418,1.37509,74.1182,3.19347,0.712225,6.03942,38.5289>	0	<>	<7,304.224,-95.244>
1	<1,7.45827,1.27968,58.5032,2.3412,69.6853,2.95726,43.4623,5.63434,1.16132,4.7109,93.9883,2.23735,39.717,6.13806,93.9434>	0	<>	<6,407.919,-93.9883>
1	<1.4168,25.6056,1.61882,46.3992,7.11797,57.0669,4.01977,97.2455,2.60336,33.9572,1.67403,25.0803,7.21823,86.4937,7.04191,35.7517>	0	<>	<7,407.6,-97.2455>
1	<5.1928,53.3311,1.0793,70.0509,5.77054,17.2639,4.04693,75.365,4.10418,91.2318,3.21938,0,1.36172,95.99,2.27962,45.1241>	0	<>	<6,448.357,-95.99>
1	<6.50562,19.2578,2.39517,76.8657,2.22858,58.3917,3.94857,97.1487,4.1079,95.6446,6.55826,0,5.57541,84.7908,4.49712,54.0682>	0	<>	<7,486.168,-97.1487>
1	<7.17794,96.6774,2.40358,44.8292,5.37776,16.8923,4.0686,69.5157,7.08785,79.8008,4.51733,63.3969,3.93736,0,1,17.9943>	0	<>	<7,389.107,-96.6774>
1	<5.57471,21.1596,2.73318,87.0146,7.06801,93.0419,5.77962,2.20629,6.9506,3.89831,4.08779,41.0749,2.41362,21.7812,2.9794,96.473>	0	<>	<7,366.65,-96.473>
1	<1.52116,95.5408,7.89109,54.0645,2.86674,75.1154,1.03661,81.222,5.17228,28.2409,2.6579,0,1,3.53998,2.17056,14.0117>	0	<>	<8,351.735,-95.5408>
1	<4.5877,45.5647,2.32126,55.8653,2.30353,0.0834328,7.92736,53.346,5.03477,52.0682,2.91995,64.5376,7.00338,25.3582,3.96285,0>	0	<>	<8,296.823,-64.5376>
1	<4.08845,67.036,2.19287,33.2531,1.91989,11.3229,5.4542,93.744,7.08439,18.5022,4.26325,48.4215,6.09062,56.3265,5.07436,45.142>	0	<>	<7,373.748,-93.744>
1	<6.33949,25.7732,7.58053,47.5837,3.62556,94.5569,1.40661,67.7449,3.92068,12.4553,5.94934,45.2177,6.41149,18.8069,4.93095,37.6995>	0	<>	<8,349.838,-94.5569>
1	<4.19537,88.4103,7.58718,15.6566,5.95856,61.5385,2.32,40.7236,3.99759,12.6006,3.15807,3.74277,6.96737,31.2639,4.03202,77.1536>	0	<>	<8,331.09,-88.4103>
1	<1.91219,0,1.57578,79.5609,4.25784,55.6179,2.77203,52.4396,2.03581,21.0926,3.79103,39.6964,7.1505,54.4856,2.31077,19.7324>	0	<>	<7,322.625,-79.5609>
1	<4.6228,26.0209,5.33237,82.4666,3.38341,95.9755,6.6031,34.4263,4.58906,64.682,4.56524,56.0587,3.29968,25.1287,3.28335,28.6128>	0	<>	<7,413.372,-95.9755>
1	<6.06932,0,1,53.3021,4.26336,31.1269,6.36699,46.4586,4.8188,84.4886,2.94025,42.4623,7.63239,41.6501,3.82909,26.3257>	0	<>	<8,325.814,-84.4886>
1	<1,27.1808,1.19532,36.8601,1.69861,53.0145,7.83137,84.0113,3.44609,13.7575,5.42469,12.8638,4.3743,87.5327,1.90644,46.2427>	0	<>	<8,361.463,-87.5327>
