# format of this file:
# evaluation_number 	[function_input_vector] 	 violation 	[properties] 	[function_output_vector] 	 evaluator_rank 	 evaluation_time 	 life_time 
389	<5.1093327269117967404099545,5.2420337243201364785250007,4.7529758781907034403957368,0,3.9582101132060447667981862,19.877400594007877288049713,1.6861220326675672165350761,26.229123047892521469748317,2.9799447534512468749312575,77.333434397626405143455486,3.8630052590104777543444925,12.383432273000213541536141,2.4136183147382075375730892,4.7921876911037548651961515,6.380533824851984725512466,14.761678990913406295248933>	0	<>	<6,160.61922000000001276021067,-77.333399999999997476152203>	0	0.096676999999999999046984556	0
390	<3.1830766534819625590557735,0,1,13.445121368367745517957701,1.7107650203214794792927478,14.819434850858261398798277,1,73.476660053002021300017077,1.5050114674982668638847372,27.081466013137934112364746,4.3797709878439885500256423,18.894631983197587743461554,2.7152032622672632733440423,8.2575200629688421116725294,5.4999199316370859236258184,0>	0	<>	<5,155.97481999999999402461981,-73.476699999999993906385498>	0	0.10090799999999999769784154	0
391	<2.0510872417600300998685725,0,3.7150011259200987900896962,73.215353429883421654267295,5.0340072827106379094175281,0,4.1110700546349718820238195,0.33207222392413271450095635,2.3468173182787452901720826,0,1.7665247427143737635191201,74.227506934771085411739477,4.43882312785779298280886,84.008890429515801656634721,5.6362086258065930977068092,6.043097959618599190889654>	0	<>	<6,237.82697200000001203079592,-84.008899999999997021404852>	0	0.090595999999999995977439937	0
392	<1,0,3.8247451613772405210056604,9.6027258362633762800442128,7.8749754232703592649045277,100,2.5689051878028106301599109,65.25681636541001751083968,2.4899723767256234374656287,86.006870114247718106526008,4.7465461947706275580571855,82.255001078478528597770492,2.5023465834103273408572932,69.718464589546655929552799,1.3770977642280504138483366,84.098121050790936692465039>	0	<>	<8,496.93803000000002612068783,-100>	0	0.10020699999999999052491262	0
393	<1.4964890859539101697350816,14.544823951923671501162971,2.0340221787495642580267941,51.463641529653052941739588,4.3826881732711049366457701,0,2.4925690670463112041943532,39.182478124127946728094685,2.9082607747559716671048591,62.673617835470295744926261,4.8832823717423163856210522,81.880001078478528597770492,2.4327536545438936954610654,99.693516176051232946520031,7.6747698372578110337371982,97.873480942972690854730899>	0	<>	<8,447.31150000000002364686225,-99.693500000000000227373675>	0	0.092700999999999991740828875	0
394	<4.9002880868037639316980858,7.8404293664919340045571516,2.733179360038218597139803,87.014630058321458250247815,7.0680145654212749306566366,93.041948924326320025102177,5.4365562265443410083776143,1.8531436670353365059327189,4.4752975846525737679826307,1.1991533990712619495155877,4.0877917269653600840229046,41.074924516060818291407486,2.4136183147382075375730892,21.781194453025793933420573,2.9794018850565899825255656,0>	0	<>	<7,253.80531999999999470674084,-93.041899999999998271960067>	0	0.090937999999999991063148741	0
395	<1,0.75,2.4736571037087857760639054,0,2.2362819967029068379815726,5.8151902520634175530744869,1.4028057786183458777173882,23.369162913118099567100217,7.9887423007696600762983508,23.427377419279597603463117,1.5472128184266447092909402,81.259274986227637782576494,7.1535586002997861854169059,0.08263945827849283887189813,2.7339498960571129160257442,10.179620729842984161450659>	0	<>	<8,144.88332950000000209911377,-81.259299999999996089172782>	0	0.099266000000000076397554949	0
396	<1.2643965939126893260890938,83.059388530933944139178493,5.9137922273547349760747238,4.4230180347445502420100638,3.5317259663863693752716699,0,1.8153560975638014518551699,78.544331844218234550680791,3.8490392807168136712903106,97.598449721745424767505028,2.6410151099045831024625386,7.2567411266531518521105681,4.2428072342848439646445513,6.8706714580164627292901969,5.2810957293403779644336282,5.5634837904076448467094451>	0	<>	<6,283.31601000000000567524694,-97.598399999999998044586391>	0	0.089523999999999992471799715	0
397	<1.4291745752232032362627479,18.198047167713774285857653,4.636082185728513493927494,27.552009386733178786244025,5.691847738200728201718448,5.8151902520634175530744869,1.4028057786183458777173882,23.369162913118099567100217,7.9887423007696600762983508,23.427377419279597603463117,1.5472128184266447092909402,81.259274986227637782576494,7.1535586002997861854169059,0.85959269373426039351215877,1.9752590339515632145150903,97.953278244451283285343379>	0	<>	<8,278.43398300000001199805411,-97.95329999999999870397005>	0	0.10313999999999999557243058	0
398	<5.1093327269117967404099545,5.2420337243201364785250007,4.7529758781907034403957368,63.20504488572713341909548,3.8311450452688826651126419,0,4.3758637748546265200388916,96.740376668395654746746004,1.6892153782254157867726008,65.838221724069782680999197,3.8630052590104777543444925,12.383432273000213541536141,5.5623466237738483641805942,4.7921876911037548651961515,6.380533824851984725512466,14.761678990913406295248933>	0	<>	<6,262.96291999999999688952812,-96.740399999999993951860233>	0	0.10047099999999999087041402	0
399	<4.7890930924513810396092595,0,1,7.6362147291126740711320053,1,11.701755650202629865930248,3.3266873341410829745257161,29.607961776134541054261717,4.2407349658853998874974423,82.054251952704163386442815,5.5756801425366102620273523,0.75,1,16.515040125937684223345059,7.0692892074907618393808661,79.412643136183092451574339>	0	<>	<7,227.67790999999999712599674,-82.054299999999997794475348>	0	0.093085000000000001074695888	0
400	<1,1.5,2,1.5,3,1.5,1,1.5,2,100,3,0,1,1.5,2,1.5>	0	<>	<3,109,-100>	0	0.099765999999999993574917312	0
401	<1,1.5,3.4800099072069903272108604,1.5,1.4799579668231110929355054,1.5,1,1.5,2,1.5,3.1274898569693272420977337,0,1,1.5,2,17.334133278268453182136>	0	<>	<3,26.33409999999999939745976,-17.33409999999999939745976>	0	0.091799999999999992716936958	0
402	<1,80.601674548979701739881421,2.9088224176824200029045642,4.8013629181316881400221064,5.1197569720073401455806561,14.208417385564375834405837,1,0,1.7953566947464629777186929,1.5,3,1.5,1.1742584493124201827640718,0,2,1.5>	0	<>	<5,104.11145999999999389729055,-80.601699999999993906385498>	0	0.085283999999999998697930437	0
403	<1,0,2.1983023507978312061084125,0,3,1.5,1,1.5,2,1.5,3,1.5,1,1.5,3.2602590232902479705501264,0>	0	<>	<3,7.5,-1.5>	0	0.10175499999999999822808405	0
404	<1,1.5,2,1.5,3,1.5,1,1.5,2,0,2.7844589599277633773510843,0,1,1.5,2,1.5>	0	<>	<3,9,-1.5>	0	0.099187999999999998390620704	0
405	<1,1.5,1.9473142074175711080386009,0,3,1.5,1,1.5,2,1.5,2.7434453347201670503352489,1.5,1,0,2.2591451482191424737777652,8.9633943777128077812221818>	0	<>	<3,16.463390000000000412683221,-8.9633900000000004126832209>	0	0.098995000000000055173643432	0
406	<1,9.0262614232610260955880221,1,1.5,3,0,1,1.5,2,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<3,18.02626000000000061618266,-9.0262600000000006161826605>	0	0.090496999999999994113153434	0
407	<5.5004620888214379448299951,1.5,1.9473142074175711080386009,0,3,1.5,1,1.5,2,1.5,2.7434453347201670503352489,1.5,1,3.5399811919964765394297501,1,0>	0	<>	<6,11.039979999999999904503056,-3.5399799999999999045030563>	0	0.097610000000000002318145675	0
408	<1,1.5,2,1.5,3,1.5,1,1.5,2,1.5,3,12.383432273000213541536141,1,0,2,1.5>	0	<>	<3,21.383400000000001739408617,-12.383399999999999963051778>	0	0.10207199999999999606714596	0
409	<1,1.5,2,1.5,3,1.5,1,2.25,1,1.5,3,1.5,1,0,2,14.434990971668153036944204>	0	<>	<3,24.184999999999998721023076,-14.435000000000000497379915>	0	0.097839999999999996416200077	0
410	<1,1.5,4.4474483560526039127580589,0,3,1.5,1,1.5,2,1.5,3,0.75,1,1.5,2.8854612190674342464546953,43.002348120092577232753683>	0	<>	<4,51.25229999999999819237928,-43.00229999999999819237928>	0	0.099478999999999997982946809	0
411	<1,1.5,4.4474483560526039127580589,0,3,1.5,1,1.5,2,1.5,3,1.5,1,19.956201163915082474886731,2,17.334133278268453182136>	0	<>	<4,44.790300000000002000888344,-19.956199999999999050714905>	0	0.099594000000000001970867913	0
412	<1,1.5,2,1.5,3,1.5,1,0,1.6928235023249049717719572,40.630281961467247242580925,1.5472128184266447092909402,0,1,66.709130580809031130229414,2,1.5>	0	<>	<3,113.33939999999999770352588,-66.709100000000006502887118>	0	0.10090399999999999369748593	0
413	<1,1.5,1.9473142074175711080386009,0,3,1.5,1,1.5,4.6919923289408878019912663,0,3.0757853143502886794635742,1.5,1,1.5,4.2524622065259434222639356,0>	0	<>	<5,7.5,-1.5>	0	0.10141499999999999126476524	0
414	<1,1.5,2,2.25,3,1.5,1,1.5,2,1.5,3,1.5,1,36.624666709394503527619236,2,1.5>	0	<>	<3,47.874699999999997146460373,-36.624699999999997146460373>	0	0.10004299999999999304378662	0
415	<2.5402829713608525707968511,1.5,1.9473142074175711080386009,0.52388285800064693376043579,3,1.5,1,1.5,2,1.5,2.7434453347201670503352489,1.5,1,1.5,2,21.67394364318994348650449>	0	<>	<3,31.197783000000001152329787,-21.673899999999999721467248>	0	0.1016060000000000851372306	0
416	<3.0546663634558983702049773,0,2.4492904941780913041782242,1.5,3,1.5,1,1.5,2,1.5,3,0,1.6095073578690679561020715,0,3.8389705919376435616641174,32.116390393402610925477347>	0	<>	<4,38.116399999999998726707418,-32.116399999999998726707418>	0	0.095514000000000001677769035	0
417	<1,1.5,2,1.5,3,1.5,1,28.857961776134541054261717,2,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<3,39.3579999999999969872988,-28.858000000000000540012479>	0	0.096588999999999994305888151	0
418	<1,0.375,1.9473142074175711080386009,0,3,1.5,1,1.5,2,1.5,2.7434453347201670503352489,1.5,1,1.5,2,29.294208600089984173564517>	0	<>	<3,37.169199999999996464339347,-29.294200000000000017053026>	0	0.10046499999999999874766843	0
419	<1,1.5,1,1.5,3,1.5,1,13.962489987938891289331877,1.7953566947464629777186929,1.5,3,1.5,1.1742584493124201827640718,1.5,2,1.5>	0	<>	<3,24.462499999999998578914528,-13.962500000000000355271368>	0	0.096041000000000001368682945	0
420	<1,9.0262614232610260955880221,1,1.5,3,1.5,5.9258648774357816080282646,1.5,2,1.5,3,1.5,1.4371658645976175261438357,10.793409338590414847658394,4.020836706050129549794292,42.542702724478530740270799>	0	<>	<6,69.862359999999995352482074,-42.542700000000003512923286>	0	0.093699999999999991628918394	0
421	<1,1.5,4.4474483560526039127580589,0,3,1.5,1,1.5,2,0,3,12.383432273000213541536141,4.4263709229074281736870944,1.5,2,17.334133278268453182136>	0	<>	<4,35.717500000000001136868377,-17.33409999999999939745976>	0	0.092199999999999990296650765	0
422	<1,9.0262614232610260955880221,1,0,3,1.5,5.9258648774357816080282646,1.5,2,1.5,3,1.5,1,1.5,7.677771657322426612779509,42.542702724478530740270799>	0	<>	<8,59.068959999999997023678588,-42.542700000000003512923286>	0	0.097483000000000000206945572	0
423	<1,0,1.9928996739875990407142581,1.5,3,1.5,1,13.962489987938891289331877,1.7953566947464629777186929,1.5,3,1.5,1.1742584493124201827640718,1.5,2,25.485550897945906001496041>	0	<>	<3,46.948099999999996612132236,-25.485600000000001585931386>	0	0.091638999999999998236077658	0
424	<1.7701414856804262853984255,1.5,2.4310334318403779008122001,0,3.7600210165884444535322473,1.5,1,1.5,2,1.5,3.3211355396528428052249637,0.75,1,0,2,1.5>	0	<>	<4,8.25,-1.5>	0	0.09860099999999999420552399	0
425	<1.1904314767757577797624435,9.7762614232610260955880221,2,1.5,3,1.5,1,13.962489987938891289331877,3.8008317080330256132469913,25.103728950537618658245265,1.5472128184266447092909402,1.5,1,1.5,2,1.5>	0	<>	<4,56.342460000000002651177056,-25.103699999999999903366188>	0	0.096657999999999993923083252	0
426	<1,1.5,1.9473142074175711080386009,0,4.9891433506222178095868003,0,5.396373827893460983773366,32.317574132498151584513835,2.3929854465615862935123914,92.970732813978443687119579,2.7434453347201670503352489,1.5,1,1.5,4.2524622065259434222639356,0>	0	<>	<5,129.78829999999999245119398,-92.970699999999993679011823>	0	0.098832000000000030937030715	0
427	<4.3288104856986606705504528,0,1.9473142074175711080386009,0,3,1.5,1,1.5,2,1.5,2.7434453347201670503352489,1.5,1,1.5,2,28.423345032345199712153772>	0	<>	<4,35.923299999999997567101673,-28.423300000000001119815352>	0	0.098732000000000000317079696	0
428	<1,1.5,4.4474483560526039127580589,0,3,1.5,1,0.28350909987162076220101881,1.7953566947464629777186929,0.30084660092873805048441227,3,1.5,1,1.5,2,17.334133278268453182136>	0	<>	<4,23.918455999999999050942279,-17.33409999999999939745976>	0	0.10228399999999999991917576	0
429	<1,1.5,4.4474483560526039127580589,2.25,3,1.5,1,1.5,2,23.51219264022642363443083,3,1.5,1,1.5,2,17.334133278268453182136>	0	<>	<4,50.596299999999999386091076,-23.512199999999999988631316>	0	0.09812699999999999200817058	0
430	<5.3340594988358489558777364,1.5,2,1.5,3,1.5,1,1.5,2,1.5,3,1.5,1,0,2,0>	0	<>	<5,9,-1.5>	0	0.086168999999999995598187752	0
431	<1,1.5,2,1.5,3,1.5,1,1.5,2,1.5,3,2.25,1,1.5,2,1.5>	0	<>	<3,12.75,-2.25>	0	0.10632599999999998996447204	0
432	<1,1.5,2,1.5,4.9891433506222178095868003,0,1,1.5,2,1.5,3.6696458429422440516987081,1.5,1,1.5,2,1.5>	0	<>	<5,10.5,-1.5>	0	0.1200529999999999930526684	0
433	<1.808970340089393058491396,0,5.1994571961459969955399174,72.616192220065826745667437,6.0400840663537778141289891,100,4.9639240996744131706464032,0,4.9045335193651418137505971,3.4491533990712621715601927,2.3866372864631175687577525,0,1.209485317910782065098374,28.167383581710691231592136,5.6051385265798954193883219,38.355011557394178112190275>	0	<>	<6,242.58774999999999977262632,-100>	0	0.10335899999999999254729488	0
434	<1,1.5,2,1.5,3,1.5,1,1.5,2,95.773448048053978709504008,2.7986255890508768828794928,39.659684984786295558478741,1,36.624666709394503527619236,2,1.5>	0	<>	<3,179.55779999999998608473106,-95.773399999999995202415448>	0	0.10222699999999999842525966	0
435	<3.0546663634558983702049773,0,1.6352621040180148614950895,0,7.2730140680321557766774276,48.875,1,1.5,2,1.5,3,0,1.6095073578690679561020715,0,3.8389705919376435616641174,32.116390393402610925477347>	0	<>	<7,83.991399999999998726707418,-48.875>	0	0.099416000000000059877436343	0
436	<1,1.5,2,1.5,4.9891433506222178095868003,0,5.396373827893460983773366,32.317574132498151584513835,2.3929854465615862935123914,92.970732813978443687119579,2.3973660896985640178513677,1.5,1,1.5,2,1.5>	0	<>	<5,132.78829999999999245119398,-92.970699999999993679011823>	0	0.09873499999999998943955859	0
437	<3.669747141967409920226828,0.375,6.2358107838015124357866625,0,5.9709478271989837594446726,62.14226603607752963398525,1,55.941342635052905052361893,1.6555188035850965100337362,67.844748621734211724287889,2.3866372864631175687577525,18.688220632583004032767349,2.4855673236239548273829314,0,5.8722005739678628799538274,100>	0	<>	<6,304.99149999999997362465365,-100>	0	0.10122899999999999953725904	0
438	<3.8793569418505562396148889,100,1,15.656630385740021083051943,5.9585551968582697313081553,61.538534453855142203337891,2.3200040707923488270125745,0,1.9316797747424243603120431,12.600565241929407633847404,3.5487452078895853624374013,0,1,1.5,4.03202013952286009157433,79.103216775275399186284631>	0	<>	<6,270.39890000000002601154847,-100>	0	0.1093959999999999932462913	0
439	<1,97.795776649283141068735858,1.1279707598164541160201679,70.567125021744118384958711,1.7107650203214794792927478,0,1,13.962489987938891289331877,1.5050114674982668638847372,27.081466013137934112364746,4.3392916858844881033974161,56.340494265938410478611331,1.5392865855429724852854179,13.935718691877889696684178,5.4999199316370859236258184,62.844584725259146296139079>	0	<>	<5,342.52769999999998162820702,-97.795799999999999840838427>	0	0.098819999999999991180388292	0
440	<1,0,1.9928996739875990407142581,0,2.3645385207443210262567845,99.19813321866007527205511,1.0121245625252484057199354,28.857961776134541054261717,2.1652728084778751771466432,30.396029656238869876005992,2.8339051147149434406458113,0,1,19.206201163915082474886731,1,0>	0	<>	<3,177.65829999999999699866748,-99.198099999999996612132236>	0	0.0938569999999999959872099	0
441	<5.1153913459812248021307823,0,1,0,1,6.7869730489500676995362483,5.4365562265443410083776143,3.5207066981916828041221379,2,12.506096320113211817215415,3.1282773326399162527877706,100,1,3.5399811919964765394297501,2.170558779347016908900514,14.011678990913406295248933>	0	<>	<5,140.36546000000001299667929,-100>	0	0.09338399999999999478994539	0
442	<1,0,1,1.5,5.5486659689567359166062488,12.073946097900135399072497,4.5189864996443436240269875,78.544331844218234550680791,5.1516461671104867292569907,100,3.9288551811728882334762147,7.2567411266531518521105681,1,6.8706714580164627292901969,5.2810957293403779644336282,0>	0	<>	<6,206.24560999999999921783456,-100>	0	0.095986999999999988997245737	0
443	<1,1.5,1.9736571037087855540193004,55.762999165110755939167575,6.4218588342991935746795207,99.555063154341212339204503,1,4.9726642786863557432752714,2.8263565046136993608172361,96.898575378360021659318591,2.3577289206943143895500725,0,1,56.731029998851489892786049,6.1140975840921036876807193,92.004044909032089094580442>	0	<>	<6,407.42435999999997875420377,-99.55509999999999593001121>	0	0.098075999999999996514787881	0
444	<4.3288104856986606705504528,22.284716657495458491666795,4.0839696554858093691109389,85.062395774322752117768687,2.1789121861471385521724642,49.865478300426843816239852,1,58.565653561877859090145648,5.3624561086122204400794544,23.51219264022642363443083,5.0880792257786167098743135,0,1.7068091573691037687865446,3.1460938455518774325980758,3.5447674199448746534812926,7.6721709722989102075985102>	0	<>	<5,250.10875999999998953171598,-85.062399999999996680344339>	0	0.099767999999999995575095113	0
445	<1.3808629535515155595248871,0,2.1506218105324643730114076,9.4565182036983408409014373,6.5129930514437113231451804,0,1.4623650468244986377897021,23.155620937773782941349054,2,1.5,2.5918747060195892473188906,19.567509749702882260180559,5.9559805006515142977718824,38.97508482401030249775431,6.1544989222448780452623396,20.969886715044214753334018>	0	<>	<7,113.62461999999999306965037,-38.975099999999997635313775>	0	0.10722200000000003949907068	0
446	<1,0.75,2.4736571037087857760639054,0,2.2362819967029068379815726,5.8151902520634175530744869,1.4028057786183458777173882,0,7.9887423007696600762983508,23.427377419279597603463117,1.5472128184266447092909402,81.259274986227637782576494,7.1535586002997861854169059,0.08263945827849283887189813,2.7339498960571129160257442,10.179620729842984161450659>	0	<>	<8,121.51412949999999568717612,-81.259299999999996089172782>	0	0.10130199999999998927702194	0
447	<4.2602999046260023874310718,100,5.5146818937569301866119531,87.014630058321458250247815,7.0680145654212749306566366,93.041948924326320025102177,2.4079179798289751524009716,2.2062873340706730118654377,6.9505951693051475359652613,0.75,2.8717226673600837472122294,1.5,1.1391858577328670687478507,0,5.2560868295869260791164379,71.285675555367802758155449>	0	<>	<7,355.7984900000000152431312,-100>	0	0.097705000000000000182076576	0
448	<6.8242003610703161342598833,21.159643736276610326285663,2.733179360038218597139803,0,1.8257434758477582015245844,0,5.7796172428781247276674549,2.2062873340706730118654377,6.9505951693051475359652613,3.8983067981425238990311755,2.6365440240823869721964456,74.118180048707031915000698,3.1934746206707669280433493,0,5.6282295440338678815805906,16.808195196701305462738674>	0	<>	<7,118.1906000000000034333425,-74.118200000000001637090463>	0	0.10079199999999999270983153	0
449	<5.1093327269117967404099545,5.2420337243201364785250007,4.7529758781907034403957368,0,3.9582101132060447667981862,19.877400594007877288049713,1.6861220326675672165350761,26.229123047892521469748317,2,77.333434397626405143455486,3.8630052590104777543444925,12.383432273000213541536141,2.4136183147382075375730892,4.7921876911037548651961515,6.380533824851984725512466,14.761678990913406295248933>	0	<>	<6,160.61922000000001276021067,-77.333399999999997476152203>	0	0.09471000000000000251798582	0
450	<1,1.5,2,1.5,3,1.5,1,1.5,2,0,4.0475291304395204505794936,0,1,1.5,2,1.5>	0	<>	<4,9,-1.5>	0	0.098850999999999994427568595	0
451	<1.3850707428402131426992128,1.5,3.4800099072069903272108604,83.968897298487789271348447,1.4799579668231110929355054,1.5,1,1.5,2,1.5,3.1274898569693272420977337,0,1,1.5,2,17.334133278268453182136>	0	<>	<3,108.80299999999999727151589,-83.968900000000004979483492>	0	0.099956999999999990302868014	0
452	<1,80.601674548979701739881421,2.9088224176824200029045642,4.8013629181316881400221064,5.1197569720073401455806561,0,3.2615295494087179761777406,0,1.7953566947464629777186929,1.5,3,1.5,1.1742584493124201827640718,0,2,1.5>	0	<>	<5,89.903059999999996421138349,-80.601699999999993906385498>	0	0.099829000000000001069366817	0
453	<3.0546663634558983702049773,0,1.6352621040180148614950895,0,7.2730140680321557766774276,48.875,1,1.5,2,1.5,3,0,1.6095073578690679561020715,0,2.5,10.167066639134226591068>	0	<>	<7,62.042099999999997805844032,-48.875>	0	0.092437999999999992395416371	0
454	<1,1.5,4.4474483560526039127580589,0,3,1.5,1,1.5,2,1.5,2.8394322301735783753429132,1.875,1,1.5,2.8854612190674342464546953,43.002348120092577232753683>	0	<>	<4,52.37729999999999819237928,-43.00229999999999819237928>	0	0.10342400000000000204192219	0
455	<1,1.5,2,1.5,2.0054283246888910952065999,1.5,1,0,1.6928235023249049717719572,40.630281961467247242580925,1.5472128184266447092909402,1.5,1,1.5,2,1.5>	0	<>	<2,49.630299999999998306066118,-40.630299999999998306066118>	0	0.097902999999999990032861774	0
456	<3.0546663634558983702049773,1.5,1.9473142074175711080386009,0,3,1.5,1,1.5,4.6919923289408878019912663,38.872188713458456277294317,4.0450199012039318446909419,1.5,1,1.5,4.2524622065259434222639356,0>	0	<>	<5,46.372199999999999420197128,-38.872199999999999420197128>	0	0.10366800000000009340794804	0
457	<1,80.601674548979701739881421,2,1.5,3,1.5,1,1.5,2,1.5,3,1.5,1,36.624666709394503527619236,2,1.5>	0	<>	<3,126.22639999999999815827323,-80.601699999999993906385498>	0	0.109668999999999988714805	0
458	<3.0546663634558983702049773,0,1.2226689603285254559494888,0,3,1.5,1,1.5,2,1.5,3,0,1.6095073578690679561020715,0,3.8389705919376435616641174,32.116390393402610925477347>	0	<>	<4,36.616399999999998726707418,-32.116399999999998726707418>	0	0.098298999999999997490007786	0
459	<1.7701414856804262853984255,1.5,1.9473142074175711080386009,0,3,1.5,1,1.5,2,1.5,2.7434453347201670503352489,1.5,1,1.5,2,29.294208600089984173564517>	0	<>	<3,38.294199999999996464339347,-29.294200000000000017053026>	0	0.094780999999999990257570914	0
460	<4.3288104856986606705504528,0,1.9473142074175711080386009,0,3,1.5,3.4629324387178908040141323,1.5,2,1.5,2.7434453347201670503352489,1.5,1,1.5,2,28.423345032345199712153772>	0	<>	<4,35.923299999999997567101673,-28.423300000000001119815352>	0	0.098736999999999991439736391	0
461	<1,0,2.1983023507978312061084125,0,3,1.5,1,0,2.9004158540165128066234956,13.301864475268809329122632,3,1.5,1,1.5,3.2602590232902479705501264,0>	0	<>	<3,17.801899999999999835154085,-13.301899999999999835154085>	0	0.096973999999999990762056257	0
462	<5.5004620888214379448299951,1.5,1.9473142074175711080386009,0,3.9945716753111089047934001,0.75,1,1.5,2,1.5,2.7434453347201670503352489,1.5,1,3.5399811919964765394297501,1,0>	0	<>	<6,10.289979999999999904503056,-3.5399799999999999045030563>	0	0.099220999999999989760190999	0
463	<1,1.5,2,1.5,3,1.5,1,1.5,2,1.5,3,2.25,1,1.5,2.3669749480285564580128721,1.5>	0	<>	<3,12.75,-2.25>	0	0.094394999999999992801313908	0
464	<2.5402829713608525707968511,1.5,1.9473142074175711080386009,0,3.4972858376555544523967001,1.5,1,1.5,2,1.5,2.7434453347201670503352489,1.5,1,1.5,2,21.67394364318994348650449>	0	<>	<3,30.673899999999999721467248,-21.673899999999999721467248>	0	0.10711400000000000087840846	0
465	<1,1.5,3.4800099072069903272108604,1.5,1.4799579668231110929355054,1.5,1,1.5,2,1.5,3.1274898569693272420977337,0,1,1.5,2,17.334133278268453182136>	0	<>	<3,26.33409999999999939745976,-17.33409999999999939745976>	0	0.099482000000000000983213511	0
466	<1,1.5,1.9473142074175711080386009,0,3,1.5,1,1.5,2,1.5,2.7434453347201670503352489,1.5,1,0,1.0805147040311782191679413,8.9633943777128077812221818>	0	<>	<3,16.463390000000000412683221,-8.9633900000000004126832209>	0	0.10640000000000005009326287	0
467	<1,1.5,4.4474483560526039127580589,0,3,1.5,1,1.5,1.7953566947464629777186929,0.30084660092873805048441227,3,1.5,1,1.5,2,17.334133278268453182136>	0	<>	<4,25.134947000000000372210707,-17.33409999999999939745976>	0	0.098457999999999989970689285	0
468	<1,9.0262614232610260955880221,1,1.5,3,0,1,1.5,2.3929854465615862935123914,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<3,18.02626000000000061618266,-9.0262600000000006161826605>	0	0.10668699999999999017408214	0
469	<1,1.5,2,1.5,3,1.5,1,1.5,2,1.5,3,38.909684984786295558478741,1,31.977962040099296103790039,2,14.434990971668153036944204>	0	<>	<3,92.822699999999997544364305,-38.909700000000000841282599>	0	0.10341499999999999304112208	0
470	<1.7701414856804262853984255,1.5,1.9473142074175711080386009,0,3,1.5,1,1.5,2,2.0995766995356310857800963,2.7434453347201670503352489,1.5,1,1.5,2,11.586971821594971743252245>	0	<>	<3,21.186579999999999301962816,-11.586999999999999744204615>	0	0.11302399999999999946620477	0
471	<3.1670297494179244779388682,2.25,2.003550163006200257598266,1.5,3,1.5,1,1.5,2,1.5,3,12.383432273000213541536141,1,0,2.3669749480285564580128721,0>	0	<>	<3,20.633400000000001739408617,-12.383399999999999963051778>	0	0.10103499999999999980904164	0
472	<1,1.5,1,1.5,3,1.5,1,13.962489987938891289331877,1.7953566947464629777186929,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<3,24.462499999999998578914528,-13.962500000000000355271368>	0	0.10454600000000000004085621	0
473	<1,9.0262614232610260955880221,1,1.5,3,1.5,5.9258648774357816080282646,1.5,2,1.5,3,1.5,1.4371658645976175261438357,10.793409338590414847658394,4.020836706050129549794292,42.542702724478530740270799>	0	<>	<6,69.862359999999995352482074,-42.542700000000003512923286>	0	0.10452000000000000179412041	0
474	<1,2.25,4.4474483560526039127580589,0,3,1.5,1,1.5,2,0,3,42.409966945489856016138219,4.4263709229074281736870944,1.5,2,17.334133278268453182136>	0	<>	<4,66.494100000000003092281986,-42.409999999999996589394868>	0	0.10221099999999999630162506	0
475	<1,9.0262614232610260955880221,1,0,3,1.5,5.9258648774357816080282646,1.5,2,100,3,1.5,1,1.5,7.677771657322426612779509,42.542702724478530740270799>	0	<>	<8,157.56896000000000412910595,-100>	0	0.10020499999999998852473482	0
476	<1,1.5,4.4474483560526039127580589,0,3,1.5,1,1.5,2,1.5,3,1.5,1,1.5,2,17.334133278268453182136>	0	<>	<4,26.33409999999999939745976,-17.33409999999999939745976>	0	0.10632199999999999984190424	0
477	<1,1.5,2,1.5,3,1.5,1,28.857961776134541054261717,2,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<3,39.3579999999999969872988,-28.858000000000000540012479>	0	0.090866000000000002323474746	0
478	<1,1.5,2,1.5,3,1.5,1,28.857961776134541054261717,2,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<3,39.3579999999999969872988,-28.858000000000000540012479>	0	0.1045679999999999942872364	0
479	<1,1.5,1,2.25,3,1.5,1,1.5,2,0,3,12.383432273000213541536141,4.4263709229074281736870944,1.5,2,17.334133278268453182136>	0	<>	<4,37.967500000000001136868377,-17.33409999999999939745976>	0	0.13003499999999998393285239	0
480	<5.5004620888214379448299951,2.25,2.5881679856221504465452199,0.75,3,1.5,1,1.5,4.6919923289408878019912663,0,3.0757853143502886794635742,1.5,1,1.5,4.2524622065259434222639356,0>	0	<>	<6,9,-2.25>	0	0.097568000000000001947775274	0
481	<1.7701414856804262853984255,1.5,2.4310334318403779008122001,0,3.7600210165884444535322473,1.5,1,1.5,2,1.5,3.3211355396528428052249637,0.75,1,1.5,2,1.5>	0	<>	<4,9.75,-1.5>	0	0.11098199999999999731947753	0
482	<1,1.5,2,1.5,3,1.5,1,1.5,2,0,2.7844589599277633773510843,0,1,1.5,2,1.5>	0	<>	<3,9,-1.5>	0	0.099717000000000000081712415	0
483	<1,0,1.9928996739875990407142581,1.5,3,1.5,1,13.962489987938891289331877,1.7953566947464629777186929,1.5,3,1.5,1.1742584493124201827640718,1.5,2,0>	0	<>	<3,21.462499999999998578914528,-13.962500000000000355271368>	0	0.092888999999999999346300683	0
