# format of this file:
# evaluation_number 	[function_input_vector] 	 violation 	[properties] 	[function_output_vector] 	 evaluator_rank 	 evaluation_time 	 life_time 
24	<2.5515954673996175117167695,63.591509900796928889121773,2.3390674699745455100696745,44.316771041749404957954539,7.2262942717533062975121538,27.561253042687315684133864,2.2418138306782644519898895,78.984605790574391903646756,6.9449461605143483211577404,47.222288347418555076728808,1.131230652859076313276887,67.423076027735632465009985,1.652656640695713718969273,53.377641762316990536874073,7.8592120073080122821806981,69.220820893170696308516199>	0	<>	<8,451.69799999999997908162186,-78.984600000000000363797881>	0	0.12146899999999999364419523	0
25	<1.4696099504221278309046284,99.121534917094521688341047,3.7490233046696630481164902,74.859220290025334065830975,2.1469807527712454486845672,82.799362196959265247642179,4.5156923544200573417128908,60.730809839782679659947462,6.1821790855294924682539204,81.929627005909395620619762,2.1316575725244626404730752,79.198616081475563532876549,6.4543753547847160234596231,34.446848386175396683483996,2.7025926409766976021842311,0.085297413210057376753425729>	0	<>	<6,513.17119739999998273560777,-99.12149999999999749888957>	0	0.090144999999999989026555625	0
26	<7.8626850800880623282296256,43.452287345869599732850475,4.1081447918471623026448469,86.985419265453430170964566,5.9709478271989837594446726,62.14226603607752963398525,5.6179017506623178945801556,55.941342635052905052361893,1.6555188035850965100337362,67.844748621734211724287889,2.6355093031355689703332246,18.688220632583004032767349,2.4855673236239548273829314,21.353161531199312150874903,7.1536329100623881060982967,27.931103914944038990597619>	0	<>	<8,384.33850000000001045918907,-86.985399999999998499333742>	0	0.10565599999999999991651123	0
27	<2.4332287481209400326065406,27.180803021034598998539877,1.1953226910882268629876535,36.860135773597349384544941,1.6986115619999408998808121,53.014500696684464742247656,7.8313661929366018554787843,84.011294964706195287362789,3.4460889359219413208279548,13.757482317163367113721506,5.4246937732327236147966687,12.863775534957543555947268,4.3743031492337127730252178,87.532663060134581201054971,1.9064351063717319689772012,46.242688943744958862680505>	0	<>	<8,361.46339999999997871782398,-87.532700000000005502442946>	0	0.10119399999999999228972314	0
28	<3.1689465251606638851455955,57.351141403127058993050014,3.3259675713842584698909377,1.9984907014288431081894259,2.3645385207443210262567845,99.19813321866007527205511,5.0557883335537221469735414,28.857961776134541054261717,5.6930017255679707943727408,81.304251952704163386442815,4.3282327718698567764477048,88.265272177879353421303676,1.186018943873242914577304,35.455223981037377711800218,2.1337463232380087241324418,23.132109885631180645759741>	0	<>	<6,415.56259000000000014551915,-99.198099999999996612132236>	0	0.091725000000000000976996262	0
29	<5.3845218901450380144524388,18.986700251226640290269643,5.1994571961459969955399174,72.616192220065826745667437,6.0400840663537778141289891,57.583191272608559074797085,4.9639240996744131706464032,6.9453285573727114865505428,5.9938471512840347799055962,19.837398137821534049862748,2.3866372864631175687577525,19.545004293110689985724093,1.515904283856928547180587,32.758177040497855614376022,5.6051385265798954193883219,38.355011557394178112190275>	0	<>	<6,266.62702999999999065039447,-72.61620000000000629825081>	0	0.083585999999999993637089801	0
30	<7.3076522910537438093570017,99.015801446054041434763349,3.8247451613772405210056604,9.6027258362633762800442128,7.8749754232703592649045277,98.293335641870896779437317,3.6922481361274832600827267,65.25681636541001751083968,6.5718311316202537852859678,86.006870114247718106526008,4.7465461947706275580571855,82.255001078478528597770492,2.5023465834103273408572932,69.718464589546655929552799,1.3770977642280504138483366,84.098121050790936692465039>	0	<>	<8,594.24712999999997009581421,-99.01579999999999870397005>	0	0.098194000000000003502975687	0
31	<7.209361538854130557751887,65.379356623338239273834915,4.9700019257003447137321928,60.706365742118265416138456,2.6073783494566464824515606,13.341800362496543996826404,5.7356186009643685963510507,94.303221439152594030019827,3.322543895022265658667493,87.460798391821228392473131,1.9693757979988006923122157,40.549259698274198626677389,2.4153282770027075798680016,79.635918969118932864148519,6.5232989911564152052392274,10.328293782811748258154694>	0	<>	<7,451.70510000000001582520781,-94.303200000000003910827218>	0	0.10200299999999999644995086	0
32	<6.505620425802479012133972,19.257773561057529576601155,2.3951713765948876577738247,76.865654940188704813408549,2.2285776409453608160049498,58.391707324605299334052688,3.9485729881322817469424535,97.148696750937347133003641,4.1079004174600823873220179,95.644559802321978736472374,6.5582588447994822900000145,65.860671441005848691929714,5.5754117041711745983434412,84.79080874695945624353044,4.4971154711661469605132879,54.068189139509662766158726>	0	<>	<7,552.0281999999999698047759,-97.148700000000005161382433>	0	0.097526000000000001577404873	0
33	<4.5119115726612095684799897,6.6731056695213100127261896,2.0342188384543260504244699,73.132713173112236404449504,2.4010434222412495586240766,82.426249134552776354212256,5.720515419598909190312952,53.194104532335934720777004,5.8920933235865522448193587,81.28416029796197506129829,7.5620354994023379902046145,90.106022865560845502841403,5.2644055454360350054798801,72.647635532844645922523341,1.0304021621264527475148043,39.571799542555488926609542>	0	<>	<8,499.03570999999999457941158,-90.105999999999994543031789>	0	0.097981999999999999650945881	0
34	<7.4333786365731517875587997,20.365336267447720075551842,2.1506218105324643730114076,9.4565182036983408409014373,6.5129930514437113231451804,58.559925695210658602718468,1.4623650468244986377897021,23.155620937773782941349054,4.7943139815676563131319199,86.008912737485445632046321,7.2311404665145744274923345,19.567509749702882260180559,5.9559805006515142977718824,38.97508482401030249775431,6.1544989222448780452623396,20.969886715044214753334018>	0	<>	<7,277.0587199999999938881956,-86.008899999999997021404852>	0	0.10059899999999999398170303	0
35	<4.1953733345472130622511031,88.410253724274340925148863,7.5871819921709509060292476,65.663096525549462967319414,5.9585551968582697313081553,61.538534453855142203337891,2.3200040707923488270125745,40.723550245502757150006801,3.9975886293675695348781574,12.600565241929407633847404,3.158070114514823334417315,3.7427738791996492118130391,6.9673740542341837667095206,31.263889712870071235784053,4.03202013952286009157433,77.153609822110084337509761>	0	<>	<8,381.0963699999999789724825,-88.410300000000006548361853>	0	0.096689999999999998170352455	0
36	<4.614045818622245498374923,59.752027857933207144469634,7.0627089650662195907671048,30.386269572370810720940426,2.2818367454604415733854239,93.21534302701024898851756,4.7479323357101215208331269,72.516439004110381461032375,6.5456979002550701451923487,42.558182888924228848281928,7.445876412766928353903495,50.023977155808346140020149,6.7073287399054173363310838,65.719647643025794536697504,5.9695704709596792980619284,27.181458159900017790278071>	0	<>	<7,441.35329999999999017745722,-93.215299999999999158717401>	0	0.09822099999999998887201258	0
37	<4.7890930924513810396092595,65.096463759009012051137688,7.4991188279814640083031918,24.966404132995013043228028,2.8644498716408621774576204,11.701755650202629865930248,5.598296806494843735890754,69.457692871549028268418624,2.7011624657088715295572001,96.519527489561369293369353,6.1240326725524072415396404,9.5505216669060857270778797,2.9448392009105717193051532,16.515040125937684223345059,7.0692892074907618393808661,79.412643136183092451574339>	0	<>	<7,373.22001999999997678969521,-96.519499999999993633537088>	0	0.094510999999999997789323913	0
